DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1p22.3	1	86444581	CLCA2	CLCA2			ENSG00000137975			rs2249296-C	rs2249296	0	2249296	intron_variant	0	0.78	1E-6	6.0	(Ileal involvement)	1.69	[1.35-2.13]	Illumina [539846]	N	ileocolitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0005624, http://www.ebi.ac.uk/efo/EFO_0000384	GCST002729	Genome-wide genotyping array
2015-04-14	21699788	Okada Y	2011-06-20	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/21699788	HLA-Cw*1202-B*5201-DRB1*1502 haplotype increases risk for ulcerative colitis but reduces risk for Crohn's disease.	Ulcerative colitis or Crohn's disease	372 Japanese ancestry Crohn's disease cases, 372 Japanese ancestry ulcerative colitis cases	607 Japanese ancestry Crohn's disease cases, 376 Japanese ancestry ulcerative colitis cases	9q32	9	114830358	TNFSF15	TNFSF15 - AL133412.1	ENSG00000181634	ENSG00000229817		24319	15236	rs2006996-T	rs2006996	0	2006996	regulatory_region_variant	1	0.47	4E-13	12.397940008672037	(UC vs. CD)	1.67	[1.47-1.92]	Illumina [461368]	N	ulcerative colitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	GCST001118	Genome-wide genotyping array
2015-04-14	21699788	Okada Y	2011-06-20	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/21699788	HLA-Cw*1202-B*5201-DRB1*1502 haplotype increases risk for ulcerative colitis but reduces risk for Crohn's disease.	Ulcerative colitis or Crohn's disease	372 Japanese ancestry Crohn's disease cases, 372 Japanese ancestry ulcerative colitis cases	607 Japanese ancestry Crohn's disease cases, 376 Japanese ancestry ulcerative colitis cases	6p21.32	6	32619077	MHC, HLA-DRB1	HLA-DRB1 - HLA-DQA1	ENSG00000206240	ENSG00000196735		29229	9102	rs9271366-C	rs9271366	0	9271366	intergenic_variant	1	0.21	2E-70	69.69897000433602	(UC vs. CD)	4.44	[3.74-5.27]	Illumina [461368]	N	ulcerative colitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	GCST001118	Genome-wide genotyping array
2019-04-17	30392061	Orlova E	2018-11-03	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30392061	Genetic association and differential expression of PITX2 with acute appendicitis.	Appendicitis	18,773 European ancestry cases, 114,907 European ancestry controls	59 European ancestry cases, 607 European ancestry controls, 7,267 Icelandic ancestry cases, 327,134 Icelandic ancestry controls, 1,139 Dutch ancestry cases, 4,587 Dutch ancestry controls	4q25	4	110799841	PITX2	LINC01438 - MIR297	ENSG00000249519	ENSG00000215961		2497	60741	rs2129979-G	rs2129979	0	2129979	intergenic_variant	1	0.31	2E-23	22.69897000433602		1.12	1.09-1.14	Illumina [NR] (imputed)	N	appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	GCST007595	Genome-wide genotyping array
2018-07-13	26525574	Westerlind H	2015-11-02	Gut	www.ncbi.nlm.nih.gov/pubmed/26525574	Dense genotyping of immune-related loci identifies HLA variants associated with increased risk of collagenous colitis.	Collagenous colitis	247 European ancestry cases, 3969 European ancestry controls	67 European ancestry cases, 330 European ancestry controls	6p21.32	6	32638107	HLA	HLA-DQA1, HLA-DQA1, HLA-DQA1, HLA-DQA1, HLA-DQA1, HLA-DQA1			ENSG00000232062, ENSG00000206305, ENSG00000236418, ENSG00000228284, ENSG00000225890, ENSG00000196735			rs2187668-?	rs2187668	0	2187668	intron_variant	0	0.126	2E-11	10.698970004336019		2.06	[1.67-2.55]	Illumina [110634]	N	collagenous colitis	http://www.ebi.ac.uk/efo/EFO_1001293	GCST005879	Targeted genotyping array [Immunochip]
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	3q13.2	3	111762099	PHLDB2	PLCXD2, PHLDB2			ENSG00000240891, ENSG00000144824			rs9868898-G	rs9868898	0	9868898	intron_variant	0	0.16	2E-6	5.698970004336019	(Perianal disease)	1.49	[1.26-1.76]	Illumina [539846]	N	perianal Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0005627	GCST002729	Genome-wide genotyping array
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1q23.2	1	159916632	TAGLN2	AL590560.4 - TAGLN2	ENSG00000279430	ENSG00000158710		6078	1475	rs12122337-G	rs12122337	0	12122337	TF_binding_site_variant	1	0.06	1E-6	6.0	(CDC Perianal)	2.2	[1.56-3.07]	Illumina [539846]	N	perianal Crohn's disease, complicated disease course	http://www.ebi.ac.uk/efo/EFO_0005627, http://www.ebi.ac.uk/efo/EFO_0006820	GCST002729	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr20:2374455-?	chr20:2374455	0			1	NR	3E-6	5.522878745280337		4.6E-4	[0.00027-0.00065] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr1:102300829-?	chr1:102300829	0			1	NR	1E-6	6.0		3.9E-4	[0.00023-0.00055] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr1:211852006-?	chr1:211852006	0			1	NR	7E-6	5.154901959985743		4.83E-4	[0.00027-0.00069] unit increase	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr2:29002900-?	chr2:29002900	0			1	NR	5E-6	5.301029995663981		8.8E-4	[0.0005-0.00126] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr2:44211546-?	chr2:44211546	0			1	NR	4E-6	5.3979400086720375		3.1E-4	[0.00018-0.00044] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr3:21580556-?	chr3:21580556	0			1	NR	8E-6	5.096910013008056		9.0E-4	[0.00051-0.00129] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr4:24338324-?	chr4:24338324	0			1	NR	1E-6	6.0		3.8E-4	[0.00023-0.00053] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr4:108478191-?	chr4:108478191	0			1	NR	3E-7	6.522878745280337		4.48E-4	[0.00028-0.00062] unit increase	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
2019-11-20	31125052	Green HD	2019-05-24	J Crohns Colitis	www.ncbi.nlm.nih.gov/pubmed/31125052	Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.	Microscopic colitis	423 European ancestry cases, 445,232 European ancestry controls	NA											chr5:6222490-?	chr5:6222490	0			1	NR	5E-6	5.301029995663981		9.3E-4	[0.00053-0.00133] unit decrease	Affymetrix [~ 12000000] (imputed)	N	microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	GCST009081	Genome-wide genotyping array
